order_id,shipment_id,customer_id,destination_location_id,order_date,requested_delivery_date,actual_delivery_date,ordered_quantity,shipped_quantity,priority,status
ORD-0023,48f8d65e-9e5c-4cdd-b814-9a183b20e157,customer-4,location-chicago,2024-04-06,2024-04-21,2024-04-21,13000,12000,High,Completed
ORD-0024,4948f486-2041-43cf-9da6-d651bed11776,customer-5,location-houston,2024-04-07,2024-04-23,2024-04-22,8000,7000,Medium,Completed
ORD-0025,4e1f7112-6e1b-4b30-a3f8-4b4dd0ff14b4,customer-2,location-new_york,2024-04-06,2024-04-24,2024-04-24,8000,7000,Medium,Completed
ORD-0026,520ab753-6f6c-435e-824e-99a88035fe8f,customer-6,location-houston,2024-04-09,2024-04-24,2024-04-22,19000,17000,High,Completed
ORD-0027,538c35bd-6a94-451e-8985-6ff1cee9452c,customer-2,location-new_york,2024-04-07,2024-04-25,2024-04-24,5000,3000,Low,Completed
ORD-0028,5c4010c8-1467-4e50-9390-fe66facf82dc,customer-7,location-st_louis,2024-04-06,2024-04-23,2024-04-23,12000,12000,High,Completed
ORD-0029,5d170f5a-0300-45d4-93a3-c8ac7a8a87a6,customer-2,location-new_york,2024-04-05,2024-04-19,2024-04-21,11000,10000,Medium,Completed
ORD-0030,5d3b7d94-46c7-4bd0-968c-88c66c607b3b,customer-6,location-houston,2024-04-05,2024-04-28,2024-04-29,10000,8000,Medium,Completed
ORD-0031,5d4e0571-e718-4da8-9d99-e9face7dd172,customer-1,location-new_york,2024-04-07,2024-04-27,2024-04-24,11000,10000,Medium,Completed
ORD-0032,5e637986-6039-41c7-89dc-d63f31954a75,customer-3,location-chicago,2024-04-04,2024-04-23,2024-04-23,12000,12000,High,Completed
ORD-0033,5f41c821-bbb3-4bab-9812-28b7345b3143,customer-2,location-new_york,2024-04-07,2024-04-27,2024-04-25,5000,3000,Low,Completed
ORD-0034,628d88ac-40e2-47d1-8515-94066ba8ebc8,customer-3,location-chicago,2024-04-07,2024-04-19,2024-04-21,15000,15000,High,Completed
ORD-0035,69d6e139-ecac-4c7a-9e64-815696c7b351,customer-2,location-new_york,2024-04-07,2024-04-24,2024-04-24,15000,14000,High,Completed
ORD-0036,6a663c1f-302a-420e-8ad0-f49ce2c97a40,customer-5,location-houston,2024-04-06,2024-04-22,2024-04-22,2000,2000,Low,Completed
ORD-0037,70d877b8-19ed-4318-8e4c-2d57e6db4761,customer-5,location-houston,2024-04-07,2024-04-27,2024-04-28,9000,9000,Medium,Completed
ORD-0038,759eadfc-8414-48e0-87c6-b8ba305a9a89,customer-2,location-new_york,2024-04-05,2024-04-26,2024-04-25,7000,6000,Low,Completed
ORD-0039,80fe0ecb-55af-46c2-b923-516a8a20399d,customer-1,location-new_york,2024-04-05,2024-04-27,2024-04-27,16000,15000,High,Completed
ORD-0040,81a4472a-ba53-448b-b52c-c120de69f9fd,customer-2,location-new_york,2024-04-07,2024-04-22,2024-04-21,1000,1000,Low,Completed
ORD-0041,824041c7-6d97-43cd-b7c7-e85d6bc799f3,customer-1,location-new_york,2024-04-06,2024-04-23,2024-04-21,15000,14000,High,Completed
ORD-0042,847a1c38-a41c-47e0-b8c0-78c9a761a0e3,customer-6,location-houston,2024-04-07,2024-04-27,2024-04-26,3000,3000,Low,Completed
ORD-0043,84c23502-0c17-459b-ab7d-7cac805a5a0b,customer-4,location-chicago,2024-04-05,2024-04-23,2024-04-23,9000,7000,Medium,Completed
ORD-0044,87057664-f831-4bc3-9734-67b0d56cc376,customer-4,location-chicago,2024-04-09,2024-04-27,2024-04-28,10000,10000,Medium,Completed
ORD-0045,8858111f-1e40-487a-94d3-ee1ee0c84496,customer-2,location-new_york,2024-04-07,2024-04-17,2024-04-19,5000,5000,Low,Completed
ORD-0046,8aacd58a-799c-4ab6-b895-9828498fcbd2,customer-8,location-st_louis,2024-04-04,2024-04-25,2024-04-26,11000,10000,Medium,Completed
ORD-0047,8c0fd2ca-d2d7-4cd2-8a92-fdcb7b0f25ba,customer-1,location-new_york,2024-04-09,2024-04-26,2024-04-26,13000,11000,Medium,Completed
ORD-0048,8d1a6472-b440-4794-a372-025c0c268225,customer-2,location-new_york,2024-04-07,2024-04-20,2024-04-17,5000,5000,Low,Completed
ORD-0049,8e00ee3b-908a-440e-9bfa-f6da6122ef92,customer-2,location-new_york,2024-04-09,2024-04-24,2024-04-24,10000,10000,Medium,Completed
ORD-0050,8ef1efc2-54b3-492e-81f6-b21eb4254b65,customer-4,location-chicago,2024-04-03,2024-04-19,2024-04-17,9000,9000,Medium,Completed
ORD-0051,904b8746-6aab-4742-838c-f39fd47f61a0,customer-4,location-chicago,2024-04-05,2024-04-24,2024-04-21,24000,22000,High,Completed
ORD-0052,9969ac6a-38c2-4712-8304-742273c56f14,customer-1,location-new_york,2024-04-07,2024-04-21,2024-04-19,12000,11000,Medium,Completed
ORD-0053,9b42e1ae-d67b-4de7-9129-b46b8d51f11c,customer-1,location-new_york,2024-04-04,2024-04-27,2024-04-27,18000,18000,High,Completed
ORD-0054,9c0b0c4a-f7c7-4f67-930f-23894cd0a422,customer-5,location-houston,2024-04-07,2024-04-22,2024-04-19,8000,7000,Medium,Completed
ORD-0055,9fe3811a-2052-4aff-9fb2-1f0f35938b49,customer-2,location-new_york,2024-04-09,2024-04-22,2024-04-22,5000,5000,Low,Completed
ORD-0056,a021a0f8-1447-4c53-812e-0d019237f66e,customer-6,location-houston,2024-04-08,2024-04-25,2024-04-25,18000,16000,High,Completed
ORD-0057,a03442df-29e5-44fc-ad8a-07553c198499,customer-1,location-new_york,2024-04-08,2024-04-19,2024-04-21,5000,5000,Low,Completed
ORD-0058,a2c38fc9-0646-4f4d-ad6f-41964dd231a1,customer-2,location-new_york,2024-04-05,2024-04-23,2024-04-23,2000,1000,Low,Completed
ORD-0059,a81da412-ddf9-40ea-9755-1d560768ce03,customer-2,location-new_york,2024-04-05,2024-04-24,2024-04-24,10000,8000,Medium,Completed
ORD-0060,b4b222b3-cca6-490f-922c-cdf493c7de64,customer-2,location-new_york,2024-04-06,2024-04-25,2024-04-23,21000,21000,High,Completed
ORD-0061,b55d6037-0ffb-4cc6-a749-c0d0ccd65c09,customer-1,location-new_york,2024-04-04,2024-04-24,2024-04-21,8000,6000,Low,Completed
ORD-0062,bb68551d-9f0b-43ac-a4cd-44037ca88172,customer-4,location-chicago,2024-04-08,2024-04-24,2024-04-24,4000,4000,Low,Completed
ORD-0063,bcf72da0-c48e-440b-a6d7-5a0ecc415001,customer-2,location-new_york,2024-04-04,2024-04-23,2024-04-25,6000,6000,Low,Completed
ORD-0064,c1d77968-1b83-4139-82ec-d95a8441518e,customer-2,location-new_york,2024-04-05,2024-04-23,2024-04-20,10000,9000,Medium,Completed
ORD-0065,c92ece52-6e5c-4ae0-b6c8-10dace788591,customer-2,location-new_york,2024-04-09,2024-04-22,2024-04-23,11000,9000,Medium,Completed
ORD-0066,cb597ab3-a8f2-4a19-b5c6-71b39fad0e9b,customer-8,location-st_louis,2024-04-05,2024-04-28,2024-04-28,18000,17000,High,Completed
ORD-0067,cbade11f-bf87-49af-9c29-5931e1238299,customer-3,location-chicago,2024-04-08,2024-04-24,2024-04-25,10000,10000,Medium,Completed
ORD-0068,cc6f5644-b4f9-468d-88fa-fa0b5830b7b9,customer-4,location-chicago,2024-04-06,2024-04-21,2024-04-22,6000,4000,Low,Completed
ORD-0069,d710e6d3-7388-4c7a-8e27-ba877c9b0cfe,customer-1,location-new_york,2024-04-06,2024-04-25,2024-04-23,7000,7000,Medium,Completed
ORD-0070,d9c16281-3c0b-4741-9b4c-9f02505a0436,customer-3,location-chicago,2024-04-07,2024-04-24,2024-04-22,23000,22000,High,Completed
ORD-0071,ddaee965-8f34-4ec4-94ef-daa5470d1aaa,customer-1,location-new_york,2024-04-07,2024-04-23,2024-04-21,5000,4000,Low,Completed
ORD-0072,deb41e51-af2b-4e0c-9ac7-5151c52b3e6e,customer-4,location-chicago,2024-04-07,2024-04-22,2024-04-22,12000,11000,Medium,Completed
ORD-0073,e59951ce-65e3-4855-b8c7-6fdeffb463de,customer-1,location-new_york,2024-04-05,2024-04-22,2024-04-23,23000,23000,High,Completed
ORD-0074,e624edda-68d8-40cd-a699-5a8cd76f8c95,customer-4,location-chicago,2024-04-05,2024-04-21,2024-04-21,7000,6000,Low,Completed
ORD-0075,e73c5e8f-cf4a-4f0a-af1d-8ab493f46e6b,customer-5,location-houston,2024-04-05,2024-04-27,2024-04-26,10000,8000,Medium,Completed
ORD-0076,eaaa336a-bf81-4534-8468-6e71224f9b7f,customer-5,location-houston,2024-04-04,2024-04-29,2024-04-29,2000,1000,Low,Completed
ORD-0077,ecc02994-936d-48cc-84b9-7f8b74850799,customer-7,location-st_louis,2024-04-07,2024-04-25,2024-04-25,25000,23000,High,Completed
ORD-0078,efa5c7c6-70ae-43b9-9627-298c467a3152,customer-8,location-st_louis,2024-04-04,2024-04-17,2024-04-17,18000,17000,High,Completed
ORD-0079,efb2b81c-d85c-4a42-84ce-c21c270d304d,customer-6,location-houston,2024-04-06,2024-04-21,2024-04-23,7000,7000,Medium,Completed
ORD-0080,f23ea64d-d582-455b-8508-138ad8c175f3,customer-4,location-chicago,2024-04-04,2024-04-23,2024-04-23,21000,21000,High,Completed
ORD-0081,f2d7435f-37dc-4a92-9d00-803dcd99ff18,customer-1,location-new_york,2024-04-06,2024-04-22,2024-04-24,24000,23000,High,Completed
ORD-0082,f8a4f478-8748-4fdc-82e2-4b93bb835502,customer-5,location-houston,2024-04-04,2024-04-20,2024-04-20,15000,14000,High,Completed
ORD-0083,f9f4ef47-f513-4bcf-aeb2-f91edcee3b2b,customer-3,location-chicago,2024-04-04,2024-04-23,2024-04-23,20000,19000,High,Completed
