product_shipment_id,product_id,quantity,unit_cost,material_cost,freight_cost,duty_rate,duty_cost,handling_cost,landed_cost,distance_km
8e00ee3b-908a-440e-9bfa-f6da6122ef92-2,product-2,9000,8.75,78750.0,39.64,0.05,450.0,330.0,79569.64,1428.3
8e00ee3b-908a-440e-9bfa-f6da6122ef92-1,product-1,1000,12.5,12500.0,19.64,0.03,30.0,170.0,12719.64,1428.3
8ef1efc2-54b3-492e-81f6-b21eb4254b65-1,product-1,3000,12.5,37500.0,25.66,0.03,90.0,210.0,37825.66,1513.1
904b8746-6aab-4742-838c-f39fd47f61a0-2,product-2,4000,8.75,35000.0,28.16,0.05,200.0,230.0,35458.16,1513.1
904b8746-6aab-4742-838c-f39fd47f61a0-1,product-1,3000,12.5,37500.0,25.66,0.03,90.0,210.0,37825.66,1513.1
9969ac6a-38c2-4712-8304-742273c56f14-2,product-2,1000,8.75,8750.0,30.28,0.05,50.0,170.0,9000.28,2315.4
9969ac6a-38c2-4712-8304-742273c56f14-1,product-1,8000,12.5,100000.0,47.78,0.03,240.0,310.0,100597.78,2315.4
9b42e1ae-d67b-4de7-9129-b46b8d51f11c-3,product-3,4000,15.0,60000.0,27.14,0.04,160.0,230.0,60417.14,1428.3
9b42e1ae-d67b-4de7-9129-b46b8d51f11c-2,product-2,7000,8.75,61250.0,34.64,0.05,350.0,290.0,61924.64,1428.3
9b42e1ae-d67b-4de7-9129-b46b8d51f11c-1,product-1,1000,12.5,12500.0,19.64,0.03,30.0,170.0,12719.64,1428.3
9c0b0c4a-f7c7-4f67-930f-23894cd0a422-3,product-3,2000,15.0,30000.0,18.19,0.04,80.0,190.0,30288.19,1099.0
9c0b0c4a-f7c7-4f67-930f-23894cd0a422-2,product-2,6000,8.75,52500.0,28.19,0.05,300.0,270.0,53098.19,1099.0
9c0b0c4a-f7c7-4f67-930f-23894cd0a422-1,product-1,2000,12.5,25000.0,18.19,0.03,60.0,190.0,25268.19,1099.0
9fe3811a-2052-4aff-9fb2-1f0f35938b49-3,product-3,10000,15.0,150000.0,39.13,0.04,400.0,350.0,150789.13,1177.4
9fe3811a-2052-4aff-9fb2-1f0f35938b49-2,product-2,3000,8.75,26250.0,21.63,0.05,150.0,210.0,26631.63,1177.4
9fe3811a-2052-4aff-9fb2-1f0f35938b49-1,product-1,2000,12.5,25000.0,19.13,0.03,60.0,190.0,25269.13,1177.4
a021a0f8-1447-4c53-812e-0d019237f66e-2,product-2,2000,8.75,17500.0,18.19,0.05,100.0,190.0,17808.19,1099.0
a021a0f8-1447-4c53-812e-0d019237f66e-1,product-1,3000,12.5,37500.0,20.69,0.03,90.0,210.0,37820.69,1099.0
a03442df-29e5-44fc-ad8a-07553c198499-2,product-2,6000,8.75,52500.0,32.14,0.05,300.0,270.0,53102.14,1428.3
a03442df-29e5-44fc-ad8a-07553c198499-1,product-1,10000,12.5,125000.0,42.14,0.03,300.0,350.0,125692.14,1428.3
a2c38fc9-0646-4f4d-ad6f-41964dd231a1-3,product-3,9000,15.0,135000.0,50.28,0.04,360.0,330.0,135740.28,2315.4
a2c38fc9-0646-4f4d-ad6f-41964dd231a1-2,product-2,8000,8.75,70000.0,47.78,0.05,400.0,310.0,70757.78,2315.4
a2c38fc9-0646-4f4d-ad6f-41964dd231a1-1,product-1,3000,12.5,37500.0,35.28,0.03,90.0,210.0,37835.28,2315.4
a81da412-ddf9-40ea-9755-1d560768ce03-3,product-3,10000,15.0,150000.0,42.14,0.04,400.0,350.0,150792.14,1428.3
a81da412-ddf9-40ea-9755-1d560768ce03-2,product-2,7000,8.75,61250.0,34.64,0.05,350.0,290.0,61924.64,1428.3
a81da412-ddf9-40ea-9755-1d560768ce03-1,product-1,8000,12.5,100000.0,37.14,0.03,240.0,310.0,100587.14,1428.3
b4b222b3-cca6-490f-922c-cdf493c7de64-1,product-1,1000,12.5,12500.0,30.28,0.03,30.0,170.0,12730.28,2315.4
b55d6037-0ffb-4cc6-a749-c0d0ccd65c09-1,product-1,5000,12.5,62500.0,40.28,0.03,150.0,250.0,62940.28,2315.4
bb68551d-9f0b-43ac-a4cd-44037ca88172-1,product-1,1000,12.5,12500.0,20.66,0.03,30.0,170.0,12720.66,1513.1
bcf72da0-c48e-440b-a6d7-5a0ecc415001-1,product-1,2000,12.5,25000.0,32.78,0.03,60.0,190.0,25282.78,2315.4
c1d77968-1b83-4139-82ec-d95a8441518e-1,product-1,9000,12.5,112500.0,50.28,0.03,270.0,330.0,113150.28,2315.4
c92ece52-6e5c-4ae0-b6c8-10dace788591-2,product-2,1000,8.75,8750.0,19.64,0.05,50.0,170.0,8989.64,1428.3
c92ece52-6e5c-4ae0-b6c8-10dace788591-1,product-1,4000,12.5,50000.0,27.14,0.03,120.0,230.0,50377.14,1428.3
cb597ab3-a8f2-4a19-b5c6-71b39fad0e9b-2,product-2,2000,8.75,17500.0,18.19,0.05,100.0,190.0,17808.19,1099.0
cb597ab3-a8f2-4a19-b5c6-71b39fad0e9b-1,product-1,4000,12.5,50000.0,23.19,0.03,120.0,230.0,50373.19,1099.0
cbade11f-bf87-49af-9c29-5931e1238299-2,product-2,5000,8.75,43750.0,26.63,0.05,250.0,250.0,44276.63,1177.4
cbade11f-bf87-49af-9c29-5931e1238299-1,product-1,10000,12.5,125000.0,39.13,0.03,300.0,350.0,125689.13,1177.4
cc6f5644-b4f9-468d-88fa-fa0b5830b7b9-1,product-1,3000,12.5,37500.0,12.47,0.03,90.0,210.0,37812.47,414.2
d710e6d3-7388-4c7a-8e27-ba877c9b0cfe-2,product-2,10000,8.75,87500.0,52.78,0.05,500.0,350.0,88402.78,2315.4
d710e6d3-7388-4c7a-8e27-ba877c9b0cfe-1,product-1,7000,12.5,87500.0,45.28,0.03,210.0,290.0,88045.28,2315.4
d9c16281-3c0b-4741-9b4c-9f02505a0436-2,product-2,4000,8.75,35000.0,28.16,0.05,200.0,230.0,35458.16,1513.1
d9c16281-3c0b-4741-9b4c-9f02505a0436-1,product-1,8000,12.5,100000.0,38.16,0.03,240.0,310.0,100588.16,1513.1
ddaee965-8f34-4ec4-94ef-daa5470d1aaa-2,product-2,7000,8.75,61250.0,45.28,0.05,350.0,290.0,61935.28,2315.4
ddaee965-8f34-4ec4-94ef-daa5470d1aaa-1,product-1,8000,12.5,100000.0,47.78,0.03,240.0,310.0,100597.78,2315.4
deb41e51-af2b-4e0c-9ac7-5151c52b3e6e-3,product-3,8000,15.0,120000.0,24.97,0.04,320.0,310.0,120654.97,414.2
deb41e51-af2b-4e0c-9ac7-5151c52b3e6e-2,product-2,4000,8.75,35000.0,14.97,0.05,200.0,230.0,35444.97,414.2
deb41e51-af2b-4e0c-9ac7-5151c52b3e6e-1,product-1,2000,12.5,25000.0,9.97,0.03,60.0,190.0,25259.97,414.2
e59951ce-65e3-4855-b8c7-6fdeffb463de-3,product-3,7000,15.0,105000.0,45.28,0.04,280.0,290.0,105615.28,2315.4
e59951ce-65e3-4855-b8c7-6fdeffb463de-2,product-2,2000,8.75,17500.0,32.78,0.05,100.0,190.0,17822.78,2315.4
e59951ce-65e3-4855-b8c7-6fdeffb463de-1,product-1,7000,12.5,87500.0,45.28,0.03,210.0,290.0,88045.28,2315.4
e624edda-68d8-40cd-a699-5a8cd76f8c95-2,product-2,2000,8.75,17500.0,19.13,0.05,100.0,190.0,17809.13,1177.4
e624edda-68d8-40cd-a699-5a8cd76f8c95-1,product-1,5000,12.5,62500.0,26.63,0.03,150.0,250.0,62926.63,1177.4
e73c5e8f-cf4a-4f0a-af1d-8ab493f46e6b-3,product-3,10000,15.0,150000.0,43.16,0.04,400.0,350.0,150793.16,1513.1
e73c5e8f-cf4a-4f0a-af1d-8ab493f46e6b-2,product-2,8000,8.75,70000.0,38.16,0.05,400.0,310.0,70748.16,1513.1
e73c5e8f-cf4a-4f0a-af1d-8ab493f46e6b-1,product-1,2000,12.5,25000.0,23.16,0.03,60.0,190.0,25273.16,1513.1
eaaa336a-bf81-4534-8468-6e71224f9b7f-3,product-3,4000,15.0,60000.0,28.16,0.04,160.0,230.0,60418.16,1513.1
eaaa336a-bf81-4534-8468-6e71224f9b7f-2,product-2,8000,8.75,70000.0,38.16,0.05,400.0,310.0,70748.16,1513.1
eaaa336a-bf81-4534-8468-6e71224f9b7f-1,product-1,5000,12.5,62500.0,30.66,0.03,150.0,250.0,62930.66,1513.1
ecc02994-936d-48cc-84b9-7f8b74850799-1,product-1,10000,12.5,125000.0,29.97,0.03,300.0,350.0,125679.97,414.2
efa5c7c6-70ae-43b9-9627-298c467a3152-2,product-2,3000,8.75,26250.0,20.69,0.05,150.0,210.0,26630.69,1099.0
efa5c7c6-70ae-43b9-9627-298c467a3152-1,product-1,2000,12.5,25000.0,18.19,0.03,60.0,190.0,25268.19,1099.0
efb2b81c-d85c-4a42-84ce-c21c270d304d-3,product-3,5000,15.0,75000.0,40.28,0.04,200.0,250.0,75490.28,2315.4
efb2b81c-d85c-4a42-84ce-c21c270d304d-2,product-2,4000,8.75,35000.0,37.78,0.05,200.0,230.0,35467.78,2315.4
efb2b81c-d85c-4a42-84ce-c21c270d304d-1,product-1,7000,12.5,87500.0,45.28,0.03,210.0,290.0,88045.28,2315.4
f23ea64d-d582-455b-8508-138ad8c175f3-1,product-1,9000,12.5,112500.0,40.66,0.03,270.0,330.0,113140.66,1513.1
f2d7435f-37dc-4a92-9d00-803dcd99ff18-1,product-1,10000,12.5,125000.0,52.78,0.03,300.0,350.0,125702.78,2315.4
f8a4f478-8748-4fdc-82e2-4b93bb835502-2,product-2,9000,8.75,78750.0,35.69,0.05,450.0,330.0,79565.69,1099.0
f8a4f478-8748-4fdc-82e2-4b93bb835502-1,product-1,1000,12.5,12500.0,15.69,0.03,30.0,170.0,12715.69,1099.0
f9f4ef47-f513-4bcf-aeb2-f91edcee3b2b-1,product-1,7000,12.5,87500.0,22.47,0.03,210.0,290.0,88022.47,414.2
