product_shipment_id,shipment_name,shipment_id,product_description,quantity,product_id,departing_origin_date,arriving_destination_date,vehicle_name,origin_location_name,origin_location_geohash,destination_location_name,destination_location_geohash,product_shipment_name
1aaf01e6-eb7f-4b71-ae71-3db35be62e48-1,Shipment 7,1aaf01e6-eb7f-4b71-ae71-3db35be62e48,Blue Triangles,5000,product-1,2024-04-09,2024-04-20,Vehicle 7,St. Louis Facility,"38.684780,-90.216816",Houston Facility,"29.847678,-95.584652",Product Shipment 7-1
1f93d6a7-111f-4084-8bfc-99cfc9416b1b-1,Shipment 8,1f93d6a7-111f-4084-8bfc-99cfc9416b1b,Blue Triangles,6000,product-1,2024-04-08,2024-04-24,Vehicle 8,St. Louis Facility,"38.684780,-90.216816",Houston Facility,"29.847678,-95.584652",Product Shipment 8-1
219bae24-eb03-40db-b957-6eb650ffb016-1,Shipment 9,219bae24-eb03-40db-b957-6eb650ffb016,Blue Triangles,1000,product-1,2024-04-10,2024-04-22,Vehicle 9,St. Louis Facility,"38.684780,-90.216816",New York Facility,"40.729498,-73.707367",Product Shipment 9-1
25394a95-cbb8-463e-969c-a58d1774b4b8-1,Shipment 10,25394a95-cbb8-463e-969c-a58d1774b4b8,Blue Triangles,6000,product-1,2024-04-10,2024-04-24,Vehicle 10,Houston Facility,"29.847678,-95.584652",Chicago Facility,"41.893911,-87.735365",Product Shipment 10-1
298d6e0c-0135-4eff-b1e7-47eb4459f472-1,Shipment 11,298d6e0c-0135-4eff-b1e7-47eb4459f472,Blue Triangles,9000,product-1,2024-04-10,2024-04-24,Vehicle 11,New York Facility,"40.729498,-73.707367",Chicago Facility,"41.893911,-87.735365",Product Shipment 11-1
3332d117-2f03-45f6-a0bf-9dc0caf5f4b3-1,Shipment 12,3332d117-2f03-45f6-a0bf-9dc0caf5f4b3,Blue Triangles,3000,product-1,2024-04-09,2024-04-24,Vehicle 12,Houston Facility,"29.847678,-95.584652",Chicago Facility,"41.893911,-87.735365",Product Shipment 12-1
3697d32e-79a5-4a3a-bb1e-c8e6c2041f52-2,Shipment 13,3697d32e-79a5-4a3a-bb1e-c8e6c2041f52,Red Squares,2000,product-2,2024-04-08,2024-04-24,Vehicle 13,Houston Facility,"29.847678,-95.584652",Chicago Facility,"41.893911,-87.735365",Product Shipment 13-2
3697d32e-79a5-4a3a-bb1e-c8e6c2041f52-1,Shipment 13,3697d32e-79a5-4a3a-bb1e-c8e6c2041f52,Blue Triangles,4000,product-1,2024-04-08,2024-04-24,Vehicle 13,Houston Facility,"29.847678,-95.584652",Chicago Facility,"41.893911,-87.735365",Product Shipment 13-1
3a4b7c0f-8ebd-4ece-b9d8-de0448f521b6-2,Shipment 14,3a4b7c0f-8ebd-4ece-b9d8-de0448f521b6,Red Squares,2000,product-2,2024-04-09,2024-04-20,Vehicle 14,Houston Facility,"29.847678,-95.584652",New York Facility,"40.729498,-73.707367",Product Shipment 14-2
3a4b7c0f-8ebd-4ece-b9d8-de0448f521b6-1,Shipment 14,3a4b7c0f-8ebd-4ece-b9d8-de0448f521b6,Blue Triangles,8000,product-1,2024-04-09,2024-04-20,Vehicle 14,Houston Facility,"29.847678,-95.584652",New York Facility,"40.729498,-73.707367",Product Shipment 14-1
3d760587-aaad-44fe-8633-6de29590adb3-1,Shipment 15,3d760587-aaad-44fe-8633-6de29590adb3,Blue Triangles,7000,product-1,2024-04-09,2024-04-24,Vehicle 15,St. Louis Facility,"38.684780,-90.216816",Chicago Facility,"41.893911,-87.735365",Product Shipment 15-1
3eb6b189-e095-4421-b31a-6dd8e9891ba5-1,Shipment 16,3eb6b189-e095-4421-b31a-6dd8e9891ba5,Blue Triangles,4000,product-1,2024-04-08,2024-04-20,Vehicle 16,Houston Facility,"29.847678,-95.584652",Chicago Facility,"41.893911,-87.735365",Product Shipment 16-1
43ccb6fb-6fca-46d9-aabb-e798a74e4961-2,Shipment 17,43ccb6fb-6fca-46d9-aabb-e798a74e4961,Red Squares,2000,product-2,2024-04-08,2024-04-24,Vehicle 17,Houston Facility,"29.847678,-95.584652",Chicago Facility,"41.893911,-87.735365",Product Shipment 17-2
43ccb6fb-6fca-46d9-aabb-e798a74e4961-1,Shipment 17,43ccb6fb-6fca-46d9-aabb-e798a74e4961,Blue Triangles,2000,product-1,2024-04-08,2024-04-24,Vehicle 17,Houston Facility,"29.847678,-95.584652",Chicago Facility,"41.893911,-87.735365",Product Shipment 17-1
45ac015a-92fd-45ee-a0f3-bceb9bb00e11-3,Shipment 18,45ac015a-92fd-45ee-a0f3-bceb9bb00e11,Yellow Circles,8000,product-3,2024-04-10,2024-04-26,Vehicle 18,Chicago Facility,"41.893911,-87.735365",St. Louis Facility,"38.684780,-90.216816",Product Shipment 18-3
45ac015a-92fd-45ee-a0f3-bceb9bb00e11-2,Shipment 18,45ac015a-92fd-45ee-a0f3-bceb9bb00e11,Red Squares,6000,product-2,2024-04-10,2024-04-26,Vehicle 18,Chicago Facility,"41.893911,-87.735365",St. Louis Facility,"38.684780,-90.216816",Product Shipment 18-2
45ac015a-92fd-45ee-a0f3-bceb9bb00e11-1,Shipment 18,45ac015a-92fd-45ee-a0f3-bceb9bb00e11,Blue Triangles,3000,product-1,2024-04-10,2024-04-26,Vehicle 18,Chicago Facility,"41.893911,-87.735365",St. Louis Facility,"38.684780,-90.216816",Product Shipment 18-1
45da843c-ab60-4c71-9a1e-024478dd1b0d-1,Shipment 19,45da843c-ab60-4c71-9a1e-024478dd1b0d,Blue Triangles,2000,product-1,2024-04-09,2024-04-20,Vehicle 19,Houston Facility,"29.847678,-95.584652",St. Louis Facility,"38.684780,-90.216816",Product Shipment 19-1
46516c7a-33e5-4b2a-a37a-70bdc085823d-2,Shipment 20,46516c7a-33e5-4b2a-a37a-70bdc085823d,Red Squares,10000,product-2,2024-04-09,2024-04-25,Vehicle 20,St. Louis Facility,"38.684780,-90.216816",Houston Facility,"29.847678,-95.584652",Product Shipment 20-2
46516c7a-33e5-4b2a-a37a-70bdc085823d-1,Shipment 20,46516c7a-33e5-4b2a-a37a-70bdc085823d,Blue Triangles,5000,product-1,2024-04-09,2024-04-25,Vehicle 20,St. Louis Facility,"38.684780,-90.216816",Houston Facility,"29.847678,-95.584652",Product Shipment 20-1
486d8184-2486-4349-bdc9-9040904d04d3-1,Shipment 21,486d8184-2486-4349-bdc9-9040904d04d3,Blue Triangles,6000,product-1,2024-04-10,2024-04-24,Vehicle 21,St. Louis Facility,"38.684780,-90.216816",Chicago Facility,"41.893911,-87.735365",Product Shipment 21-1
4875fac9-3a3a-40b1-b36c-ec26a35886f8-1,Shipment 22,4875fac9-3a3a-40b1-b36c-ec26a35886f8,Blue Triangles,1000,product-1,2024-04-09,2024-04-29,Vehicle 22,Chicago Facility,"41.893911,-87.735365",New York Facility,"40.729498,-73.707367",Product Shipment 22-1
48f8d65e-9e5c-4cdd-b814-9a183b20e157-2,Shipment 23,48f8d65e-9e5c-4cdd-b814-9a183b20e157,Red Squares,5000,product-2,2024-04-09,2024-04-21,Vehicle 23,St. Louis Facility,"38.684780,-90.216816",Chicago Facility,"41.893911,-87.735365",Product Shipment 23-2
48f8d65e-9e5c-4cdd-b814-9a183b20e157-1,Shipment 23,48f8d65e-9e5c-4cdd-b814-9a183b20e157,Blue Triangles,3000,product-1,2024-04-09,2024-04-21,Vehicle 23,St. Louis Facility,"38.684780,-90.216816",Chicago Facility,"41.893911,-87.735365",Product Shipment 23-1
4948f486-2041-43cf-9da6-d651bed11776-3,Shipment 24,4948f486-2041-43cf-9da6-d651bed11776,Yellow Circles,10000,product-3,2024-04-09,2024-04-22,Vehicle 24,St. Louis Facility,"38.684780,-90.216816",Houston Facility,"29.847678,-95.584652",Product Shipment 24-3
4948f486-2041-43cf-9da6-d651bed11776-2,Shipment 24,4948f486-2041-43cf-9da6-d651bed11776,Red Squares,4000,product-2,2024-04-09,2024-04-22,Vehicle 24,St. Louis Facility,"38.684780,-90.216816",Houston Facility,"29.847678,-95.584652",Product Shipment 24-2
4948f486-2041-43cf-9da6-d651bed11776-1,Shipment 24,4948f486-2041-43cf-9da6-d651bed11776,Blue Triangles,9000,product-1,2024-04-09,2024-04-22,Vehicle 24,St. Louis Facility,"38.684780,-90.216816",Houston Facility,"29.847678,-95.584652",Product Shipment 24-1
4e1f7112-6e1b-4b30-a3f8-4b4dd0ff14b4-3,Shipment 25,4e1f7112-6e1b-4b30-a3f8-4b4dd0ff14b4,Yellow Circles,6000,product-3,2024-04-10,2024-04-24,Vehicle 25,St. Louis Facility,"38.684780,-90.216816",New York Facility,"40.729498,-73.707367",Product Shipment 25-3
4e1f7112-6e1b-4b30-a3f8-4b4dd0ff14b4-2,Shipment 25,4e1f7112-6e1b-4b30-a3f8-4b4dd0ff14b4,Red Squares,9000,product-2,2024-04-10,2024-04-24,Vehicle 25,St. Louis Facility,"38.684780,-90.216816",New York Facility,"40.729498,-73.707367",Product Shipment 25-2
4e1f7112-6e1b-4b30-a3f8-4b4dd0ff14b4-1,Shipment 25,4e1f7112-6e1b-4b30-a3f8-4b4dd0ff14b4,Blue Triangles,9000,product-1,2024-04-10,2024-04-24,Vehicle 25,St. Louis Facility,"38.684780,-90.216816",New York Facility,"40.729498,-73.707367",Product Shipment 25-1
520ab753-6f6c-435e-824e-99a88035fe8f-2,Shipment 26,520ab753-6f6c-435e-824e-99a88035fe8f,Red Squares,9000,product-2,2024-04-10,2024-04-22,Vehicle 26,Chicago Facility,"41.893911,-87.735365",Houston Facility,"29.847678,-95.584652",Product Shipment 26-2
520ab753-6f6c-435e-824e-99a88035fe8f-1,Shipment 26,520ab753-6f6c-435e-824e-99a88035fe8f,Blue Triangles,3000,product-1,2024-04-10,2024-04-22,Vehicle 26,Chicago Facility,"41.893911,-87.735365",Houston Facility,"29.847678,-95.584652",Product Shipment 26-1
538c35bd-6a94-451e-8985-6ff1cee9452c-1,Shipment 27,538c35bd-6a94-451e-8985-6ff1cee9452c,Blue Triangles,8000,product-1,2024-04-09,2024-04-24,Vehicle 27,Houston Facility,"29.847678,-95.584652",New York Facility,"40.729498,-73.707367",Product Shipment 27-1
5c4010c8-1467-4e50-9390-fe66facf82dc-3,Shipment 28,5c4010c8-1467-4e50-9390-fe66facf82dc,Yellow Circles,7000,product-3,2024-04-09,2024-04-23,Vehicle 28,New York Facility,"40.729498,-73.707367",St. Louis Facility,"38.684780,-90.216816",Product Shipment 28-3
5c4010c8-1467-4e50-9390-fe66facf82dc-2,Shipment 28,5c4010c8-1467-4e50-9390-fe66facf82dc,Red Squares,4000,product-2,2024-04-09,2024-04-23,Vehicle 28,New York Facility,"40.729498,-73.707367",St. Louis Facility,"38.684780,-90.216816",Product Shipment 28-2
5c4010c8-1467-4e50-9390-fe66facf82dc-1,Shipment 28,5c4010c8-1467-4e50-9390-fe66facf82dc,Blue Triangles,6000,product-1,2024-04-09,2024-04-23,Vehicle 28,New York Facility,"40.729498,-73.707367",St. Louis Facility,"38.684780,-90.216816",Product Shipment 28-1
5d170f5a-0300-45d4-93a3-c8ac7a8a87a6-1,Shipment 29,5d170f5a-0300-45d4-93a3-c8ac7a8a87a6,Blue Triangles,7000,product-1,2024-04-09,2024-04-21,Vehicle 29,Chicago Facility,"41.893911,-87.735365",New York Facility,"40.729498,-73.707367",Product Shipment 29-1
5d3b7d94-46c7-4bd0-968c-88c66c607b3b-3,Shipment 30,5d3b7d94-46c7-4bd0-968c-88c66c607b3b,Yellow Circles,8000,product-3,2024-04-10,2024-04-29,Vehicle 30,New York Facility,"40.729498,-73.707367",Houston Facility,"29.847678,-95.584652",Product Shipment 30-3
5d3b7d94-46c7-4bd0-968c-88c66c607b3b-2,Shipment 30,5d3b7d94-46c7-4bd0-968c-88c66c607b3b,Red Squares,2000,product-2,2024-04-10,2024-04-29,Vehicle 30,New York Facility,"40.729498,-73.707367",Houston Facility,"29.847678,-95.584652",Product Shipment 30-2
5d3b7d94-46c7-4bd0-968c-88c66c607b3b-1,Shipment 30,5d3b7d94-46c7-4bd0-968c-88c66c607b3b,Blue Triangles,8000,product-1,2024-04-10,2024-04-29,Vehicle 30,New York Facility,"40.729498,-73.707367",Houston Facility,"29.847678,-95.584652",Product Shipment 30-1
5d4e0571-e718-4da8-9d99-e9face7dd172-2,Shipment 31,5d4e0571-e718-4da8-9d99-e9face7dd172,Red Squares,4000,product-2,2024-04-10,2024-04-24,Vehicle 31,St. Louis Facility,"38.684780,-90.216816",New York Facility,"40.729498,-73.707367",Product Shipment 31-2
5d4e0571-e718-4da8-9d99-e9face7dd172-1,Shipment 31,5d4e0571-e718-4da8-9d99-e9face7dd172,Blue Triangles,4000,product-1,2024-04-10,2024-04-24,Vehicle 31,St. Louis Facility,"38.684780,-90.216816",New York Facility,"40.729498,-73.707367",Product Shipment 31-1
5e637986-6039-41c7-89dc-d63f31954a75-3,Shipment 32,5e637986-6039-41c7-89dc-d63f31954a75,Yellow Circles,3000,product-3,2024-04-09,2024-04-23,Vehicle 32,St. Louis Facility,"38.684780,-90.216816",Chicago Facility,"41.893911,-87.735365",Product Shipment 32-3
5e637986-6039-41c7-89dc-d63f31954a75-2,Shipment 32,5e637986-6039-41c7-89dc-d63f31954a75,Red Squares,6000,product-2,2024-04-09,2024-04-23,Vehicle 32,St. Louis Facility,"38.684780,-90.216816",Chicago Facility,"41.893911,-87.735365",Product Shipment 32-2
5e637986-6039-41c7-89dc-d63f31954a75-1,Shipment 32,5e637986-6039-41c7-89dc-d63f31954a75,Blue Triangles,6000,product-1,2024-04-09,2024-04-23,Vehicle 32,St. Louis Facility,"38.684780,-90.216816",Chicago Facility,"41.893911,-87.735365",Product Shipment 32-1
5f41c821-bbb3-4bab-9812-28b7345b3143-3,Shipment 33,5f41c821-bbb3-4bab-9812-28b7345b3143,Yellow Circles,1000,product-3,2024-04-08,2024-04-25,Vehicle 33,St. Louis Facility,"38.684780,-90.216816",New York Facility,"40.729498,-73.707367",Product Shipment 33-3
5f41c821-bbb3-4bab-9812-28b7345b3143-2,Shipment 33,5f41c821-bbb3-4bab-9812-28b7345b3143,Red Squares,9000,product-2,2024-04-08,2024-04-25,Vehicle 33,St. Louis Facility,"38.684780,-90.216816",New York Facility,"40.729498,-73.707367",Product Shipment 33-2
5f41c821-bbb3-4bab-9812-28b7345b3143-1,Shipment 33,5f41c821-bbb3-4bab-9812-28b7345b3143,Blue Triangles,6000,product-1,2024-04-08,2024-04-25,Vehicle 33,St. Louis Facility,"38.684780,-90.216816",New York Facility,"40.729498,-73.707367",Product Shipment 33-1
628d88ac-40e2-47d1-8515-94066ba8ebc8-1,Shipment 34,628d88ac-40e2-47d1-8515-94066ba8ebc8,Blue Triangles,5000,product-1,2024-04-08,2024-04-21,Vehicle 34,New York Facility,"40.729498,-73.707367",Chicago Facility,"41.893911,-87.735365",Product Shipment 34-1
69d6e139-ecac-4c7a-9e64-815696c7b351-3,Shipment 35,69d6e139-ecac-4c7a-9e64-815696c7b351,Yellow Circles,5000,product-3,2024-04-09,2024-04-24,Vehicle 35,Houston Facility,"29.847678,-95.584652",New York Facility,"40.729498,-73.707367",Product Shipment 35-3
69d6e139-ecac-4c7a-9e64-815696c7b351-2,Shipment 35,69d6e139-ecac-4c7a-9e64-815696c7b351,Red Squares,9000,product-2,2024-04-09,2024-04-24,Vehicle 35,Houston Facility,"29.847678,-95.584652",New York Facility,"40.729498,-73.707367",Product Shipment 35-2
69d6e139-ecac-4c7a-9e64-815696c7b351-1,Shipment 35,69d6e139-ecac-4c7a-9e64-815696c7b351,Blue Triangles,5000,product-1,2024-04-09,2024-04-24,Vehicle 35,Houston Facility,"29.847678,-95.584652",New York Facility,"40.729498,-73.707367",Product Shipment 35-1
6a663c1f-302a-420e-8ad0-f49ce2c97a40-2,Shipment 36,6a663c1f-302a-420e-8ad0-f49ce2c97a40,Red Squares,3000,product-2,2024-04-08,2024-04-22,Vehicle 36,Chicago Facility,"41.893911,-87.735365",Houston Facility,"29.847678,-95.584652",Product Shipment 36-2
6a663c1f-302a-420e-8ad0-f49ce2c97a40-1,Shipment 36,6a663c1f-302a-420e-8ad0-f49ce2c97a40,Blue Triangles,10000,product-1,2024-04-08,2024-04-22,Vehicle 36,Chicago Facility,"41.893911,-87.735365",Houston Facility,"29.847678,-95.584652",Product Shipment 36-1
70d877b8-19ed-4318-8e4c-2d57e6db4761-3,Shipment 37,70d877b8-19ed-4318-8e4c-2d57e6db4761,Yellow Circles,7000,product-3,2024-04-08,2024-04-28,Vehicle 37,Chicago Facility,"41.893911,-87.735365",Houston Facility,"29.847678,-95.584652",Product Shipment 37-3
70d877b8-19ed-4318-8e4c-2d57e6db4761-2,Shipment 37,70d877b8-19ed-4318-8e4c-2d57e6db4761,Red Squares,10000,product-2,2024-04-08,2024-04-28,Vehicle 37,Chicago Facility,"41.893911,-87.735365",Houston Facility,"29.847678,-95.584652",Product Shipment 37-2
70d877b8-19ed-4318-8e4c-2d57e6db4761-1,Shipment 37,70d877b8-19ed-4318-8e4c-2d57e6db4761,Blue Triangles,5000,product-1,2024-04-08,2024-04-28,Vehicle 37,Chicago Facility,"41.893911,-87.735365",Houston Facility,"29.847678,-95.584652",Product Shipment 37-1
759eadfc-8414-48e0-87c6-b8ba305a9a89-1,Shipment 38,759eadfc-8414-48e0-87c6-b8ba305a9a89,Blue Triangles,10000,product-1,2024-04-09,2024-04-25,Vehicle 38,St. Louis Facility,"38.684780,-90.216816",New York Facility,"40.729498,-73.707367",Product Shipment 38-1
80fe0ecb-55af-46c2-b923-516a8a20399d-3,Shipment 39,80fe0ecb-55af-46c2-b923-516a8a20399d,Yellow Circles,9000,product-3,2024-04-08,2024-04-27,Vehicle 39,Houston Facility,"29.847678,-95.584652",New York Facility,"40.729498,-73.707367",Product Shipment 39-3
80fe0ecb-55af-46c2-b923-516a8a20399d-2,Shipment 39,80fe0ecb-55af-46c2-b923-516a8a20399d,Red Squares,4000,product-2,2024-04-08,2024-04-27,Vehicle 39,Houston Facility,"29.847678,-95.584652",New York Facility,"40.729498,-73.707367",Product Shipment 39-2
80fe0ecb-55af-46c2-b923-516a8a20399d-1,Shipment 39,80fe0ecb-55af-46c2-b923-516a8a20399d,Blue Triangles,2000,product-1,2024-04-08,2024-04-27,Vehicle 39,Houston Facility,"29.847678,-95.584652",New York Facility,"40.729498,-73.707367",Product Shipment 39-1
81a4472a-ba53-448b-b52c-c120de69f9fd-3,Shipment 40,81a4472a-ba53-448b-b52c-c120de69f9fd,Yellow Circles,5000,product-3,2024-04-10,2024-04-21,Vehicle 40,St. Louis Facility,"38.684780,-90.216816",New York Facility,"40.729498,-73.707367",Product Shipment 40-3
81a4472a-ba53-448b-b52c-c120de69f9fd-2,Shipment 40,81a4472a-ba53-448b-b52c-c120de69f9fd,Red Squares,5000,product-2,2024-04-10,2024-04-21,Vehicle 40,St. Louis Facility,"38.684780,-90.216816",New York Facility,"40.729498,-73.707367",Product Shipment 40-2
81a4472a-ba53-448b-b52c-c120de69f9fd-1,Shipment 40,81a4472a-ba53-448b-b52c-c120de69f9fd,Blue Triangles,9000,product-1,2024-04-10,2024-04-21,Vehicle 40,St. Louis Facility,"38.684780,-90.216816",New York Facility,"40.729498,-73.707367",Product Shipment 40-1
824041c7-6d97-43cd-b7c7-e85d6bc799f3-3,Shipment 41,824041c7-6d97-43cd-b7c7-e85d6bc799f3,Yellow Circles,2000,product-3,2024-04-09,2024-04-21,Vehicle 41,St. Louis Facility,"38.684780,-90.216816",New York Facility,"40.729498,-73.707367",Product Shipment 41-3
824041c7-6d97-43cd-b7c7-e85d6bc799f3-2,Shipment 41,824041c7-6d97-43cd-b7c7-e85d6bc799f3,Red Squares,6000,product-2,2024-04-09,2024-04-21,Vehicle 41,St. Louis Facility,"38.684780,-90.216816",New York Facility,"40.729498,-73.707367",Product Shipment 41-2
824041c7-6d97-43cd-b7c7-e85d6bc799f3-1,Shipment 41,824041c7-6d97-43cd-b7c7-e85d6bc799f3,Blue Triangles,9000,product-1,2024-04-09,2024-04-21,Vehicle 41,St. Louis Facility,"38.684780,-90.216816",New York Facility,"40.729498,-73.707367",Product Shipment 41-1
847a1c38-a41c-47e0-b8c0-78c9a761a0e3-3,Shipment 42,847a1c38-a41c-47e0-b8c0-78c9a761a0e3,Yellow Circles,9000,product-3,2024-04-10,2024-04-26,Vehicle 42,St. Louis Facility,"38.684780,-90.216816",Houston Facility,"29.847678,-95.584652",Product Shipment 42-3
847a1c38-a41c-47e0-b8c0-78c9a761a0e3-2,Shipment 42,847a1c38-a41c-47e0-b8c0-78c9a761a0e3,Red Squares,9000,product-2,2024-04-10,2024-04-26,Vehicle 42,St. Louis Facility,"38.684780,-90.216816",Houston Facility,"29.847678,-95.584652",Product Shipment 42-2
847a1c38-a41c-47e0-b8c0-78c9a761a0e3-1,Shipment 42,847a1c38-a41c-47e0-b8c0-78c9a761a0e3,Blue Triangles,8000,product-1,2024-04-10,2024-04-26,Vehicle 42,St. Louis Facility,"38.684780,-90.216816",Houston Facility,"29.847678,-95.584652",Product Shipment 42-1
84c23502-0c17-459b-ab7d-7cac805a5a0b-1,Shipment 43,84c23502-0c17-459b-ab7d-7cac805a5a0b,Blue Triangles,9000,product-1,2024-04-09,2024-04-23,Vehicle 43,St. Louis Facility,"38.684780,-90.216816",Chicago Facility,"41.893911,-87.735365",Product Shipment 43-1
87057664-f831-4bc3-9734-67b0d56cc376-2,Shipment 44,87057664-f831-4bc3-9734-67b0d56cc376,Red Squares,4000,product-2,2024-04-10,2024-04-28,Vehicle 44,Houston Facility,"29.847678,-95.584652",Chicago Facility,"41.893911,-87.735365",Product Shipment 44-2
87057664-f831-4bc3-9734-67b0d56cc376-1,Shipment 44,87057664-f831-4bc3-9734-67b0d56cc376,Blue Triangles,5000,product-1,2024-04-10,2024-04-28,Vehicle 44,Houston Facility,"29.847678,-95.584652",Chicago Facility,"41.893911,-87.735365",Product Shipment 44-1
8858111f-1e40-487a-94d3-ee1ee0c84496-1,Shipment 45,8858111f-1e40-487a-94d3-ee1ee0c84496,Blue Triangles,4000,product-1,2024-04-11,2024-04-19,Vehicle 45,St. Louis Facility,"38.684780,-90.216816",New York Facility,"40.729498,-73.707367",Product Shipment 45-1
8aacd58a-799c-4ab6-b895-9828498fcbd2-1,Shipment 46,8aacd58a-799c-4ab6-b895-9828498fcbd2,Blue Triangles,2000,product-1,2024-04-09,2024-04-26,Vehicle 46,Chicago Facility,"41.893911,-87.735365",St. Louis Facility,"38.684780,-90.216816",Product Shipment 46-1
8c0fd2ca-d2d7-4cd2-8a92-fdcb7b0f25ba-1,Shipment 47,8c0fd2ca-d2d7-4cd2-8a92-fdcb7b0f25ba,Blue Triangles,1000,product-1,2024-04-10,2024-04-26,Vehicle 47,Chicago Facility,"41.893911,-87.735365",New York Facility,"40.729498,-73.707367",Product Shipment 47-1
8d1a6472-b440-4794-a372-025c0c268225-3,Shipment 48,8d1a6472-b440-4794-a372-025c0c268225,Yellow Circles,1000,product-3,2024-04-10,2024-04-17,Vehicle 48,Chicago Facility,"41.893911,-87.735365",New York Facility,"40.729498,-73.707367",Product Shipment 48-3
8d1a6472-b440-4794-a372-025c0c268225-2,Shipment 48,8d1a6472-b440-4794-a372-025c0c268225,Red Squares,9000,product-2,2024-04-10,2024-04-17,Vehicle 48,Chicago Facility,"41.893911,-87.735365",New York Facility,"40.729498,-73.707367",Product Shipment 48-2
8d1a6472-b440-4794-a372-025c0c268225-1,Shipment 48,8d1a6472-b440-4794-a372-025c0c268225,Blue Triangles,1000,product-1,2024-04-10,2024-04-17,Vehicle 48,Chicago Facility,"41.893911,-87.735365",New York Facility,"40.729498,-73.707367",Product Shipment 48-1
8e00ee3b-908a-440e-9bfa-f6da6122ef92-3,Shipment 49,8e00ee3b-908a-440e-9bfa-f6da6122ef92,Yellow Circles,10000,product-3,2024-04-10,2024-04-24,Vehicle 49,St. Louis Facility,"38.684780,-90.216816",New York Facility,"40.729498,-73.707367",Product Shipment 49-3
8e00ee3b-908a-440e-9bfa-f6da6122ef92-2,Shipment 49,8e00ee3b-908a-440e-9bfa-f6da6122ef92,Red Squares,9000,product-2,2024-04-10,2024-04-24,Vehicle 49,St. Louis Facility,"38.684780,-90.216816",New York Facility,"40.729498,-73.707367",Product Shipment 49-2
8e00ee3b-908a-440e-9bfa-f6da6122ef92-1,Shipment 49,8e00ee3b-908a-440e-9bfa-f6da6122ef92,Blue Triangles,1000,product-1,2024-04-10,2024-04-24,Vehicle 49,St. Louis Facility,"38.684780,-90.216816",New York Facility,"40.729498,-73.707367",Product Shipment 49-1
